resBayes resBagging resRF resLVIRF resCsrf5 resCsrf10 resCsrf50 resCsrf150 resCsrf250 resCsrf350 resDVSRF1 resDVSRF2 resKVRF1 resKVRF2 resKVRF3 resKVRF4 resNNRF1 resNNRF2 resNNRF3
0.146 0.2602 0.2272 0.2404 0.2466 0.2432 0.2328 0.2344 0.235 0.234 0.222 0.2324 0.2262 0.2248 0.227 0.2332 0.2088 0.2138 0.2206
0.1474 0.2448 0.2146 0.2266 0.2356 0.2376 0.2212 0.2156 0.2222 0.222 0.2126 0.2156 0.2158 0.21 0.2074 0.2142 0.2042 0.2062 0.212
0.1564 0.259 0.2208 0.2334 0.2448 0.241 0.2322 0.2272 0.2264 0.2348 0.2264 0.2326 0.2196 0.2236 0.2236 0.2264 0.2126 0.212 0.2172
0.1592 0.2664 0.2338 0.2418 0.2528 0.2498 0.2468 0.2362 0.2356 0.2358 0.2322 0.2384 0.2286 0.2278 0.2262 0.237 0.2236 0.2238 0.2264
0.147 0.249 0.2146 0.2338 0.237 0.2384 0.237 0.2262 0.2344 0.2334 0.2182 0.223 0.215 0.2206 0.213 0.219 0.2068 0.2092 0.2106
0.1634 0.2566 0.2354 0.2432 0.251 0.2466 0.2476 0.2264 0.2324 0.2418 0.233 0.237 0.2258 0.2232 0.2298 0.2394 0.2202 0.2232 0.2296
0.1506 0.2306 0.2062 0.2196 0.2312 0.2302 0.2176 0.2168 0.2126 0.2166 0.2132 0.214 0.2008 0.2072 0.202 0.2096 0.1988 0.205 0.2074
0.1492 0.244 0.2048 0.2216 0.2306 0.236 0.2214 0.2152 0.2176 0.2214 0.2124 0.2174 0.2078 0.2088 0.2076 0.2208 0.2004 0.2022 0.2092
0.147 0.2402 0.209 0.2202 0.2298 0.226 0.2242 0.2316 0.2234 0.2252 0.211 0.2146 0.2064 0.2114 0.2038 0.2134 0.1958 0.2006 0.2038
0.1434 0.2448 0.2194 0.2254 0.2382 0.2304 0.2308 0.228 0.2334 0.227 0.224 0.2242 0.221 0.2186 0.2174 0.221 0.2012 0.2106 0.2224
